state,month,energySource,powerGenerated
UT,1,Hydroelectric Conventional,67051
UT,1,Natural Gas,1160094
UT,1,Other,61581
UT,1,Solar Thermal and Photovoltaic,200985
UT,1,Total,2623995
UT,1,Wind,63662
VA,1,Coal,365303
VA,1,Hydroelectric Conventional,146333
VA,1,Natural Gas,5535706
VA,1,Other,3040652
VA,1,Solar Thermal and Photovoltaic,292555
VA,1,Total,9385824
VA,1,Wind,5276
VT,1,Hydroelectric Conventional,154298
VT,1,Natural Gas,174
VT,1,Other,50300
VT,1,Solar Thermal and Photovoltaic,7639
VT,1,Total,233939
VT,1,Wind,21527
WA,1,Coal,305284
WA,1,Hydroelectric Conventional,5091254
WA,1,Natural Gas,1909209
WA,1,Other,1000760
WA,1,Solar Thermal and Photovoltaic,11484
WA,1,Total,8954327
WA,1,Wind,636336
WI,1,Coal,2598060
WI,1,Hydroelectric Conventional,164082
WI,1,Natural Gas,2403747
WI,1,Other,1006976
WI,1,Solar Thermal and Photovoltaic,79888
WI,1,Total,6409705
WI,1,Wind,156952
WV,1,Coal,4985929
WV,1,Hydroelectric Conventional,160467
WV,1,Natural Gas,254053
WV,1,Other,10361
WV,1,Solar Thermal and Photovoltaic,1938
WV,1,Total,5640405
WV,1,Wind,227656
WY,1,Coal,2670296
WY,1,Hydroelectric Conventional,76706
WY,1,Natural Gas,247328
WY,1,Other,42125
WY,1,Solar Thermal and Photovoltaic,6202
WY,1,Total,3884962
WY,1,Wind,842305
AK,2,Coal,74876
AK,2,Hydroelectric Conventional,130515
AK,2,Natural Gas,231610
AK,2,Other,76310
AK,2,Solar Thermal and Photovoltaic,1007
AK,2,Total,525466
AK,2,Wind,11148
AL,2,Coal,1367487
AL,2,Hydroelectric Conventional,985176
AL,2,Natural Gas,4104173
AL,2,Other,3603518
AL,2,Solar Thermal and Photovoltaic,80538
AL,2,Total,10140892
AR,2,Coal,1306366
AR,2,Hydroelectric Conventional,333328
AR,2,Natural Gas,887354
AR,2,Other,1380309
AR,2,Solar Thermal and Photovoltaic,109269
AR,2,Total,4016625
AZ,2,Coal,967756
AZ,2,Hydroelectric Conventional,426028
AZ,2,Natural Gas,3099062
AZ,2,Other,2744870
AZ,2,Solar Thermal and Photovoltaic,578467
AZ,2,Total,8011307
AZ,2,Wind,195125
CA,2,Coal,17937
CA,2,Hydroelectric Conventional,2536335
CA,2,Natural Gas,6605467
CA,2,Other,2855676
CA,2,Solar Thermal and Photovoltaic,2560121
CA,2,Total,15788093
CA,2,Wind,1212557
CO,2,Coal,1628431
CO,2,Hydroelectric Conventional,104082
CO,2,Natural Gas,1410356
CO,2,Other,29788
CO,2,Solar Thermal and Photovoltaic,314879
CO,2,Total,4923924
CO,2,Wind,1436388
CT,2,Coal,0
CT,2,Hydroelectric Conventional,44574
CT,2,Natural Gas,1794766
CT,2,Other,1555611
CT,2,Solar Thermal and Photovoltaic,31356
CT,2,Total,3427383
CT,2,Wind,1077
DC,2,Natural Gas,9412
DC,2,Other,4820
DC,2,Solar Thermal and Photovoltaic,2296
DC,2,Total,16528
DE,2,Coal,-2417
DE,2,Natural Gas,300903
DE,2,Other,19343
DE,2,Solar Thermal and Photovoltaic,10679
DE,2,Total,328563
DE,2,Wind,55
FL,2,Coal,333935
FL,2,Hydroelectric Conventional,20559
FL,2,Natural Gas,12385613
FL,2,Other,3078576
FL,2,Solar Thermal and Photovoltaic,1307971
FL,2,Total,17126655
GA,2,Coal,1222833
GA,2,Hydroelectric Conventional,293215
GA,2,Natural Gas,4418795
GA,2,Other,3476031
GA,2,Solar Thermal and Photovoltaic,568746
GA,2,Total,9979620
HI,2,Hydroelectric Conventional,5601
HI,2,Other,561917
HI,2,Solar Thermal and Photovoltaic,43070
HI,2,Total,668191
HI,2,Wind,57603
IA,2,Coal,616142
IA,2,Hydroelectric Conventional,65291
IA,2,Natural Gas,707467
IA,2,Other,25471
IA,2,Solar Thermal and Photovoltaic,37680
IA,2,Total,5518784
IA,2,Wind,4066734
ID,2,Coal,0
ID,2,Hydroelectric Conventional,611009
ID,2,Natural Gas,533262
ID,2,Other,48426
ID,2,Solar Thermal and Photovoltaic,43616
ID,2,Total,1462261
ID,2,Wind,225947
IL,2,Coal,1745075
IL,2,Hydroelectric Conventional,6964
IL,2,Natural Gas,2261117
IL,2,Other,7979962
IL,2,Solar Thermal and Photovoltaic,175160
IL,2,Total,14511454
IL,2,Wind,2343175
IN,2,Coal,2785545
IN,2,Hydroelectric Conventional,43157
IN,2,Natural Gas,3095445
IN,2,Other,164823
IN,2,Solar Thermal and Photovoltaic,151895
IN,2,Total,7162626
IN,2,Wind,921762
KS,2,Coal,543702
KS,2,Hydroelectric Conventional,1071
KS,2,Natural Gas,274822
KS,2,Other,868586
KS,2,Solar Thermal and Photovoltaic,5035
KS,2,Total,4426327
KS,2,Wind,2733112
KY,2,Coal,3606734
KY,2,Hydroelectric Conventional,375147
KY,2,Natural Gas,1017593
KY,2,Other,42686
KY,2,Solar Thermal and Photovoltaic,9924
KY,2,Total,5052083
LA,2,Coal,335772
LA,2,Hydroelectric Conventional,68238
LA,2,Natural Gas,4826305
LA,2,Other,1600407
LA,2,Solar Thermal and Photovoltaic,49323
LA,2,Total,6880046
MA,2,Coal,0
MA,2,Hydroelectric Conventional,116340
MA,2,Natural Gas,1272047
MA,2,Other,110190
MA,2,Solar Thermal and Photovoltaic,147233
MA,2,Total,1656926
MA,2,Wind,11116
MD,2,Coal,85072
MD,2,Hydroelectric Conventional,198916
MD,2,Natural Gas,781214
